id,title,acronym,rank,tier
1,National Conference of the American Association for Artificial Intelligence,AAAI,A*,0
2,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,0
3,Association for Computational Linguistics,ACL,A*,0
4,ACM Multimedia,ACMMM,A*,0
5,Automated Software Engineering Conference,ASE,A*,0
6,Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,0
7,Computer Aided Verification,CAV,A*,0
8,ACM Conference on Computer and Communications Security,CCS,A*,0
9,International Conference on Human Factors in Computing Systems,CHI,A*,0
10,Conference on Learning Theory,COLT,A*,0
11,Advances in Cryptology,CRYPTO,A*,0
12,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,0
13,ACM Conference on Economics and Computation,EC,A*,0
14,European Conference on Computer Vision,ECCV,A*,0
15,Empirical Methods in Natural Language Processing,EMNLP,A*,0
16,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,0
17,IEEE Symposium on Foundations of Computer Science,FOCS,A*,0
18,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,0
19,International Symposium on High Performance Computer Architecture,HPCA,A*,0
20,International Conference on Automated Planning and Scheduling,ICAPS,A*,0
21,IEEE International Conference on Computer Vision,ICCV,A*,0
22,International Conference on Data Engineering,ICDE,A*,0
23,IEEE International Conference on Data Mining,ICDM,A*,0
24,International Conference on Learning Representations,ICLR,A*,0
25,International Conference on Machine Learning,ICML,A*,0
26,IEEE International Conference on Robotics and Automation,ICRA,A*,0
27,International Conference on Software Engineering,ICSE,A*,0
28,International Joint Conference on Artificial Intelligence,IJCAI,A*,0
29,IEEE International Conference on Computer Communications,INFOCOM,A*,0
30,Information Processing in Sensor Networks,IPSN,A*,0
31,ACM International Symposium on Computer Architecture,ISCA,A*,0
32,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,0
33,ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,0
34,International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,0
35,IEEE Symposium on Logic in Computer Science,LICS,A*,0
36,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,0
37,Usenix Network and Distributed System Security Symposium,NDSS,A*,0
38,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,0
39,Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*,0
40,IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,0
41,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,0
42,ACM Symposium on Principles of Distributed Computing,PODC,A*,0
43,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,0
44,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,0
45,Real Time Systems Symposium,RTSS,A*,0
46,ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,0
47,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,0
48,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,0
49,ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,0
50,Measurement and Modeling of Computer Systems,SIGMETRICS,A*,0
51,ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,0
52,ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,0
53,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,0
54,IEEE Symposium on Security and Privacy,SP,A*,0
55,ACM Symposium on Theory of Computing,STOC,A*,0
56,ACM Symposium on User Interface Software and Technology,UIST,A*,0
57,Usenix Security Symposium,USENIX-Security,A*,0
58,International Conference on Very Large Databases,VLDB,A*,0
59,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*,0
60,International World Wide Web Conference,WWW,A*,0
61,Parallel Problem Solving from Nature,PPSN,A,1
62,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A,1
63,ACM International Conference on Recommender Systems,RecSys,A,1
64,IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,1
65,"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A,1
66,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,1
67,SIAM International Conference on Data Mining,SDM,A,1
68,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A,1
69,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,1
70,Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,1
71,Theoretical Aspects of Rationality and Knowledge,TARK,A,1
72,Theory of Cryptography Conference,TCC,A,1
73,Conference in Uncertainty in Artificial Intelligence,UAI,A,1
74,Usenix Annual Technical Conference,USENIX,A,1
75,IEEE Workshop on Applications of Computer Vision,WACV,A,1
76,International Conference on Functional Programming,ICFP,A,1
77,International Conference on Logic Programming,ICLP,A,1
78,IEEE International Conference on Multimedia and Expo,ICME,A,1
79,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,1
